,Polarization_bool,retweetCount
360,1,1674.0
361,1,426.0
362,-1,353.0
363,1,4687.0
364,-1,1108.0
365,1,1493.0
366,-1,1498.0
367,1,1239.0
368,1,553.0
369,1,3037.0
370,1,643.0
371,-1,1157.0
372,1,218.0
373,-1,1566.0
374,1,550.0
375,-1,1669.0
376,-1,574.0
377,1,3301.0
378,1,546.0
379,-1,17261.0
380,1,2012.0
381,-1,793.0
382,1,3648.0
383,-1,572.0
384,-1,831.0
385,0,1072.0
386,1,982.0
387,-1,4707.0
388,1,7215.0
389,1,605.0
390,1,746.0
391,1,795.0
392,-1,1657.0
393,1,5667.0
394,1,456.0
395,1,241.0
396,-1,310.0
397,1,904.0
398,1,1870.0
399,-1,3858.0
400,0,931.0
401,-1,374.0
402,1,2263.0
403,0,885.0
404,1,6569.0
405,-1,168.0
406,1,798.0
407,-1,20091.0
408,-1,1066.0
409,1,1544.0
410,-1,1352.0
411,1,1277.0
412,-1,961.0
413,1,308.0
414,1,2329.0
415,-1,1371.0
416,1,1243.0
417,1,2000.0
418,1,6442.0
419,1,5037.0
420,1,287.0
421,-1,897.0
422,1,1394.0
423,1,899.0
424,-1,1702.0
425,-1,211.0
426,1,370.0
427,1,530.0
428,1,12743.0
429,1,386.0
430,-1,4932.0
431,1,508.0
432,1,2625.0
433,1,491.0
434,1,891.0
435,1,1463.0
436,1,2579.0
437,-1,719.0
438,-1,1230.0
439,1,408.0
440,-1,1424.0
441,1,3675.0
442,-1,1741.0
443,1,1237.0
444,-1,347.0
445,-1,1077.0
446,-1,2284.0
447,-1,1158.0
448,-1,1284.0
449,1,434.0
450,-1,7788.0
451,1,2546.0
452,-1,622.0
453,-1,1139.0
454,0,6273.0
455,1,325.0
456,1,1573.0
457,1,434.0
458,0,7703.0
459,1,412.0
460,1,384.0
461,0,2971.0
462,1,291.0
463,0,747.0
464,1,195.0
465,1,640.0
466,1,447.0
467,-1,1379.0
468,1,506.0
469,-1,1543.0
470,0,5294.0
471,1,220.0
472,-1,1043.0
473,1,1600.0
474,-1,4428.0
475,1,5561.0
476,-1,254.0
477,-1,235.0
478,1,344.0
479,0,958.0
480,-1,5942.0
481,-1,904.0
482,1,1196.0
483,0,471.0
484,1,1356.0
485,0,966.0
486,1,629.0
487,0,749.0
488,1,2156.0
489,1,570.0
490,1,324.0
491,1,14733.0
492,1,514.0
493,-1,846.0
494,1,13867.0
495,0,316.0
496,1,2627.0
497,0,1432.0
498,-1,455.0
499,1,731.0
500,1,1658.0
501,0,436.0
502,0,9620.0
503,1,1546.0
504,-1,2138.0
505,1,1891.0
506,1,525.0
507,1,405.0
508,1,332.0
509,0,1109.0
510,-1,2276.0
511,1,1206.0
512,1,290.0
513,1,503.0
514,-1,7262.0
515,-1,966.0
516,1,332.0
517,0,14130.0
518,-1,2268.0
519,-1,1537.0
520,1,673.0
521,1,354.0
522,-1,746.0
523,1,1816.0
524,0,341.0
525,1,1070.0
526,1,2058.0
527,-1,1184.0
528,1,1120.0
529,-1,6498.0
530,1,1344.0
531,1,1123.0
532,1,660.0
533,1,2979.0
534,-1,3118.0
535,1,6618.0
536,-1,10567.0
537,1,9547.0
538,-1,690.0
539,-1,318.0
540,1,736.0
541,-1,343.0
542,-1,229.0
543,-1,2008.0
544,1,1766.0
545,-1,2080.0
546,-1,334.0
547,0,4153.0
548,1,1889.0
549,-1,554.0
550,0,179.0
551,0,494.0
552,1,1552.0
553,1,684.0
554,1,1465.0
555,1,5492.0
556,1,2482.0
557,-1,493.0
558,1,1201.0
559,1,1752.0
560,-1,3821.0
561,-1,1664.0
562,1,1655.0
563,1,1105.0
564,-1,7022.0
565,1,462.0
566,0,2140.0
567,1,1772.0
568,-1,1096.0
569,1,2025.0
570,1,550.0
571,0,488.0
572,1,858.0
573,-1,1022.0
574,1,511.0
575,-1,1441.0
576,0,687.0
577,0,200.0
578,1,3269.0
579,1,776.0
580,1,751.0
581,-1,848.0
582,-1,1815.0
583,1,311.0
584,0,546.0
585,0,484.0
586,-1,536.0
587,-1,145.0
588,-1,257.0
589,1,3628.0
590,-1,3239.0
591,1,647.0
592,1,272.0
593,1,513.0
594,1,7336.0
595,1,1875.0
596,-1,1051.0
597,1,3717.0
598,-1,334.0
599,1,2524.0
600,1,1072.0
601,1,1050.0
602,0,2936.0
603,0,2611.0
604,-1,813.0
605,1,176.0
606,-1,1433.0
607,0,296.0
608,1,435.0
609,1,1050.0
610,1,991.0
611,1,1639.0
612,1,355.0
613,-1,1985.0
614,1,3480.0
615,0,1355.0
616,-1,888.0
617,-1,859.0
618,1,907.0
619,-1,9158.0
620,-1,2023.0
621,0,661.0
622,1,603.0
623,-1,1433.0
624,-1,1498.0
625,1,1120.0
626,0,1332.0
627,-1,1319.0
628,1,521.0
629,1,1049.0
630,1,610.0
631,1,501.0
632,1,744.0
633,-1,6363.0
634,0,880.0
635,1,1042.0
636,1,1110.0
637,1,759.0
638,1,1181.0
639,1,669.0
640,1,1040.0
641,-1,459.0
642,0,1547.0
643,1,587.0
644,-1,259.0
645,0,227.0
646,-1,730.0
647,1,766.0
648,1,2355.0
649,1,585.0
650,1,1419.0
651,1,1590.0
652,1,418.0
653,-1,2111.0
654,0,1071.0
655,0,509.0
656,1,447.0
657,-1,743.0
658,0,479.0
659,-1,554.0
660,-1,2288.0
661,0,1906.0
662,-1,771.0
663,1,826.0
664,0,1198.0
665,1,1503.0
666,1,1418.0
667,-1,5475.0
668,1,244.0
669,-1,1735.0
670,-1,1296.0
671,-1,651.0
672,-1,1623.0
673,-1,7202.0
674,1,613.0
675,-1,383.0
676,1,779.0
677,1,427.0
678,-1,4399.0
679,1,775.0
680,0,483.0
681,0,242.0
682,1,1202.0
683,-1,4760.0
684,-1,10595.0
685,1,470.0
686,1,948.0
687,-1,3927.0
688,-1,646.0
689,0,764.0
690,-1,1267.0
691,0,561.0
692,-1,4505.0
693,1,357.0
694,-1,2453.0
695,-1,202.0
696,-1,785.0
697,1,800.0
698,-1,1119.0
