,Polarization_bool,retweetCount
464,1,195
465,1,640
466,1,447
467,-1,1379
468,1,506
469,-1,1543
470,0,5294
471,1,220
472,-1,1043
473,1,1600
474,-1,4428
475,1,5561
476,-1,254
477,-1,235
478,1,344
479,0,958
480,-1,5942
481,-1,904
482,1,1196
483,0,471
484,1,1356
485,0,966
486,1,629
487,0,749
488,1,2156
489,1,570
490,1,324
491,1,14733
492,1,514
493,-1,846
494,1,13867
495,0,316
496,1,2627
497,0,1432
498,-1,455
499,1,731
500,1,1658
501,0,436
502,0,9620
503,1,1546
504,-1,2138
505,1,1891
506,1,525
507,1,405
508,1,332
509,0,1109
510,-1,2276
511,1,1206
512,1,290
513,1,503
514,-1,7262
515,-1,966
516,1,332
517,0,14130
518,-1,2268
519,-1,1537
520,1,673
521,1,354
522,-1,746
523,1,1816
524,0,341
525,1,1070
526,1,2058
527,-1,1184
528,1,1120
529,-1,6498
530,1,1344
531,1,1123
532,1,660
533,1,2979
534,-1,3118
535,1,6618
536,-1,10567
537,1,9547
538,-1,690
539,-1,318
540,1,736
541,-1,343
542,-1,229
543,-1,2008
544,1,1766
545,-1,2080
546,-1,334
547,0,4153
548,1,1889
549,-1,554
550,0,179
551,0,494
552,1,1552
553,1,684
554,1,1465
555,1,5492
556,1,2482
557,-1,493
558,1,1201
559,1,1752
560,-1,3821
561,-1,1664
562,1,1655
563,1,1105
564,-1,7022
565,1,462
566,0,2140
567,1,1772
568,-1,1096
569,1,2025
570,1,550
571,0,488
572,1,858
573,-1,1022
574,1,511
575,-1,1441
576,0,687
577,0,200
578,1,3269
579,1,776
580,1,751
581,-1,848
582,-1,1815
583,1,311
584,0,546
585,0,484
586,-1,536
587,-1,145
588,-1,257
589,1,3628
590,-1,3239
591,1,647
592,1,272
593,1,513
594,1,7336
595,1,1875
596,-1,1051
597,1,3717
598,-1,334
599,1,2524
600,1,1072
601,1,1050
602,0,2936
603,0,2611
604,-1,813
605,1,176
606,-1,1433
607,0,296
608,1,435
609,1,1050
610,1,991
611,1,1639
612,1,355
613,-1,1985
614,1,3480
615,0,1355
616,-1,888
617,-1,859
618,1,907
619,-1,9158
620,-1,2023
621,0,661
622,1,603
623,-1,1433
624,-1,1498
625,1,1120
626,0,1332
627,-1,1319
628,1,521
629,1,1049
630,1,610
631,1,501
632,1,744
633,-1,6363
634,0,880
635,1,1042
636,1,1110
637,1,759
638,1,1181
639,1,669
640,1,1040
641,-1,459
642,0,1547
643,1,587
644,-1,259
645,0,227
646,-1,730
647,1,766
648,1,2355
649,1,585
650,1,1419
651,1,1590
652,1,418
653,-1,2111
654,0,1071
655,0,509
656,1,447
657,-1,743
658,0,479
659,-1,554
660,-1,2288
661,0,1906
662,-1,771
663,1,826
664,0,1198
665,1,1503
666,1,1418
667,-1,5475
668,1,244
669,-1,1735
670,-1,1296
671,-1,651
672,-1,1623
673,-1,7202
674,1,613
675,-1,383
676,1,779
677,1,427
678,-1,4399
679,1,775
680,0,483
681,0,242
682,1,1202
683,-1,4760
684,-1,10595
685,1,470
686,1,948
687,-1,3927
688,-1,646
689,0,764
690,-1,1267
691,0,561
692,-1,4505
693,1,357
694,-1,2453
695,-1,202
696,-1,785
697,1,800
698,-1,1119
699,-1,2179
700,1,962
701,1,518
702,-1,1282
703,1,512
704,-1,355
705,-1,1792
706,1,601
707,-1,1898
708,0,1337
709,1,297
710,-1,1983
711,-1,504
712,1,891
713,-1,1654
714,-1,4692
715,0,1443
716,-1,961
717,-1,1649
718,1,5106
719,1,1350
720,1,435
721,-1,275
722,-1,743
723,1,499
724,-1,12810
725,1,5361
726,0,607
727,1,1233
728,1,7572
729,-1,293
730,0,9131
731,-1,480
732,1,235
733,1,4304
734,1,297
735,-1,1562
736,-1,461
737,1,580
738,1,735
739,-1,1324
740,1,662
741,1,653
742,1,2700
743,1,746
744,1,733
745,1,727
